url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
https://www.rottentomatoes.com/m/vivid,,0,
https://www.rottentomatoes.com/m/a_blind_bargain,50,,
https://www.rottentomatoes.com/m/bhootbari_forest,,,
https://www.rottentomatoes.com/m/the-lost-tribe,,15,
https://www.rottentomatoes.com/m/velvet_buzzsaw,61,36,If you only watch one art-world satire with horror overtones this year -- or most others -- it should probably beVelvet Buzzsaw.
https://www.rottentomatoes.com/m/amityville_exorcism,,14,
https://www.rottentomatoes.com/m/honeydew,65,35,"Atmospheric horror built on layers of creeping dread,Honeydewfinds fresh frights in its familiar setup -- and portends great things for writer-director Devereux Milburn."
https://www.rottentomatoes.com/m/summoners,100,29,
https://www.rottentomatoes.com/m/dark_heaven,,15,
https://www.rottentomatoes.com/m/obex,96,,"A beguiling odyssey that offsets its scrappy production values with sumptuously analog presentation,OBEXis a wildly inventive riff on the digital world."
https://www.rottentomatoes.com/m/the_book_of_the_witch,,,
https://www.rottentomatoes.com/m/ghost-voyage,,28,
https://www.rottentomatoes.com/m/ii,,,
https://www.rottentomatoes.com/m/devils_backbone_texas,,8,
https://www.rottentomatoes.com/m/malevolence,,,
https://www.rottentomatoes.com/m/the_raven,,41,
https://www.rottentomatoes.com/m/devils_stay,30,,
https://www.rottentomatoes.com/m/carnosaur_2,,31,
https://www.rottentomatoes.com/m/creature_of_the_night,,,
https://www.rottentomatoes.com/m/my_bloody_valentine,39,53,"My Bloody Valentinestumbles through a cinematic coal mine of mechanical scares, bland characters, and a contrived, blood-soaked plot that's as predictable as it is unimaginative."
https://www.rottentomatoes.com/m/ghost_story_passion_in_fukagawa,,,
https://www.rottentomatoes.com/m/raaz_the_mystery_continues,,,
https://www.rottentomatoes.com/m/rowing_with_the_wind,,50,
https://www.rottentomatoes.com/m/the-body-beneath,,11,
https://www.rottentomatoes.com/m/nazis_at_the_center_of_the_earth,,17,
https://www.rottentomatoes.com/m/pizza_3_the_mummy,,,
https://www.rottentomatoes.com/m/something_in_the_dirt,89,48,Something in the Dirtreaffirms Justin Benson and Aaron Moorhead as sci-fi storytellers with a distinctive -- and darkly alluring -- vision.
https://www.rottentomatoes.com/m/battlefield_2025,,,
https://www.rottentomatoes.com/m/ouroboros,,,
https://www.rottentomatoes.com/m/the_shaolin_brothers,,,
https://www.rottentomatoes.com/m/blood_pageant,,67,
https://www.rottentomatoes.com/m/kalliyankattu_neeli,,,
https://www.rottentomatoes.com/m/lipstick,18,34,
https://www.rottentomatoes.com/m/splinter,,,
https://www.rottentomatoes.com/m/the_unwanted,,,
https://www.rottentomatoes.com/m/thr33_days_dead,,,
https://www.rottentomatoes.com/m/beneath,,37,
https://www.rottentomatoes.com/m/empire_of_the_dark,,,
