tconst,tmdb_id,title,primaryTitle,genres,averageRating,numVotes
tt1486878,90196,At the Mercy of the Darkness: Ayano's Bizarre Delusions,At the Mercy of the Darkness: Ayano's Bizarre Delusions,Horror,5.0,74.0
tt14881472,928153,Shadows,Shadows,Horror,5.3,14.0
tt14902008,1023568,Oh My Ghost,Oh My Ghost,"Comedy, Horror",2.3,674.0
tt14922184,249599,The Box,The Box,Thriller,6.1,32.0
tt14922584,844069,Guimoon: The Lightless Door,Guimoon: The Lightless Door,"Horror, Mystery, Thriller",4.8,428.0
tt14988070,898365,Show Us Responding,Show Us Responding,,,
tt15010292,848818,Flux Gourmet,Flux Gourmet,"Comedy, Drama, Horror",5.8,3687.0
tt15037206,749109,Miss Blueberry Beauty Pageant,Miss Blueberry Beauty Pageant,,,
tt15048600,859862,Ekip Oyunu,Ekip Oyunu,"Horror, Thriller",5.4,422.0
tt15056700,1125186,Home Education,Home Education,"Drama, Horror, Thriller",5.2,425.0
tt15059274,803636,Ex-Girlfriend's Ghost,Ex Girlfriend's Ghost,"Comedy, Horror",3.8,15.0
tt1508349,158129,The Occultist,The Occultist,Horror,2.3,180.0
tt15085378,1368769,Honeymoon,Honeymoon,Drama,,
tt15088982,936358,Killer Christmas Elves: The Movie,Killer Christmas Elves,"Action, Comedy, Horror",5.9,49.0
tt15094836,957056,The Sack Man,The Sack Man,,,
tt15097292,1128501,Alone,Sola,"Drama, Horror",3.2,263.0
tt15101182,1121663,No Overnight Parking,No Overnight Parking,,6.5,47.0
tt15101878,876874,Magic Moon 2,Sayumkui 2,"Action, Adventure, Comedy",5.2,6.0
tt15113364,905011,Negatives,Negatives,,,
tt1511445,628458,Count Tsakona and His Draculettes,Count Tsakona and His Draculettes,,4.5,37.0
tt15122134,1383845,No Shark,No Shark,"Comedy, Drama, Horror",6.8,157.0
tt15132736,863946,Horror Noire,Horror Noire,Horror,5.2,816.0
tt15133756,1201338,Winter Island,Winter Island,Horror,4.5,254.0
tt1517228,382052,Not Alone,The Haunting of Ellie Rose,Horror,2.5,249.0
tt15188924,1179261,Maria José Maria,Maria José Maria,,8.4,46.0
tt15207270,1018852,Queen of Bones,Queen of Bones,"Horror, Thriller",4.8,1103.0
tt15211358,1237549,Darkness Binds,Darkness Binds,Horror,5.6,7.0
tt1521235,279181,Rasukan Ablasa,Rasukan Ablasa,"Horror, Mystery, Thriller",4.5,55.0
tt15214936,838808,Cerberus,Cerberus,,,
tt15215230,655758,Suck My Blood,Suck My Blood,,4.8,7.0
tt1521769,238957,Dracula,Dracula,,3.8,95.0
tt1521784,668616,Eye of the Sandman,Eye of the Sandman,"Comedy, Horror, Musical",,
tt15274084,1527917,American Cryptids,American Cryptids,Horror,5.2,103.0
tt15281656,1218704,The Holy Trinity,The Holy Trinity,Horror,1.7,12372.0
tt1530660,65348,Dawning,Dawning,"Drama, Horror, Thriller",3.9,524.0
tt15307448,999278,The Goldsmith,The Goldsmith,"Horror, Thriller",4.8,989.0
tt15336912,1239610,The Monkey's Paw,The Monkey's Paw,,7.7,17.0
tt1533810,678278,Late Spring/Regrets For Our Youth,Late Spring/Regrets For Our Youth,,5.3,13.0
tt1535104,37827,My Ex,My Ex,Horror,5.2,243.0
tt15351816,1043258,They're Watching,They're Watching,,4.8,6.0
tt15355494,873516,Duppy,Duppy,,8.9,9.0
tt15360202,948092,Dr. Lucchetti's Macabre Atheneum,Dr. Lucchetti's Macabre Atheneum,,7.9,8.0
tt15379526,985784,CUT,Cut,Horror,,
tt1538233,604238,Brico Killer,Brico Killer,,6.9,38.0
tt15401974,880264,Night Breakers,Night Breakers,,7.3,106.0
tt1540843,1529808,Dawn of the Bed,Dawn of the Bed,,,
tt15426138,882593,This Is Our Home,This Is Our Home,,6.5,32.0
tt15432814,820940,Helldose,Helldose,Horror,3.9,12.0
tt1543282,1307186,The Last Day of Macho-Mask,The Last Day of Macho-Mask,,7.3,13.0
tt1543813,1427561,Shelter,Shelter,,8.1,15.0
tt15444046,1058619,Divinity,Divinity,"Sci-Fi, Thriller",5.3,1519.0
tt1545315,49347,Needle,Needle,"Horror, Mystery, Thriller",4.8,3285.0
tt15474792,924033,The Curse of the Mummy Cat,The Curse of the Mummy Cat,,,
tt1547975,1491897,Removed,Removed,,,
tt15484024,1494303,Trail of the Vampire,Trail of the Vampire,"Adventure, Drama, Fantasy",,
tt15485618,347089,The Vampire Sex Diaries,The Vampire Sex Diaries,,3.4,11.0
tt1550657,1428683,The Suffering: Static,The Suffering: Static,,6.9,10.0
tt15528116,874167,The Timekeepers of Eternity,The Timekeepers of Eternity,"Animation, Horror, Mystery",6.9,467.0
tt1555095,642081,The Burningmoore Incident,The Burningmoore Incident,"Horror, Thriller",4.0,166.0
tt1555895,52382,Lost Paradise: Playmates in Hell,Air Terjun Pengantin,Horror,3.6,248.0
tt15574802,904648,The Ogress,The Ogress,,6.4,66.0
tt1560985,76487,The Devil Inside,The Devil Inside,Horror,4.2,38464.0
tt15654282,1259270,Necro Lesbians,Necro Lesbians,,5.2,8.0
tt1565785,718138,Hotel Darklight,Hotel Darklight,Horror,7.6,33.0
tt15670734,1041404,Wolves,Wolves,,5.4,13.0
tt1568808,801086,Chemistry,Chemistry,Horror,3.4,94.0
tt15693732,985890,Among the Living,Among the Living,"Drama, Horror",3.9,509.0
tt1569380,702905,Dungeon of Evil,Dungeon of Evil,"Action, Fantasy, Horror",4.9,20.0
tt1570538,52092,Island: Wedding of the Zombies,Ada: Zombilerin Dügünü,"Comedy, Horror",5.4,1887.0
tt1570598,700650,Horrorbabe.com 1,Horrorbabe.com 1,,7.5,16.0
tt15754886,882108,The Abyss of the Soul,The Abyss of the Soul,,6.7,10.0
tt1576464,479488,Splatter,Splatter,,3.1,783.0
tt15767652,1015261,Save Me from Everything,Don't Talk to Strangers,"Horror, Mystery, Thriller",3.5,195.0
tt15779214,1318041,Don't Forget,Don't Forget,,,
tt1578717,308721,Terror Creek,Terror Creek,,3.9,38.0
tt15790536,1087721,Nice to Finally Meet You,Nice to Finally Meet You,,6.3,50.0
tt1581336,130165,President's Day,President's Day,"Comedy, Crime, Horror",4.2,521.0
tt1583273,79225,I Am Bish,I Am Bish,"Action, Comedy, Horror",5.8,67.0
tt15845768,961613,A Haunting in Ravenwood,A Haunting in Ravenwood,Horror,3.3,121.0
tt15891670,995052,Touch,Touch,,7.1,11.0
tt1590316,171499,Crush,Crush,"Drama, Romance",5.6,152.0
tt15909454,1083819,The Final Haunt,The Final Haunt,Horror,5.2,8.0
