tmdb_id,vote_average,vote_count,popularity
30737,8.6,5,0.4452
69015,4.0,9,0.3789
1064294,2.0,1,0.3364
26301,5.4,34,0.8202
495466,2.8,5,0.3236
785130,3.0,1,0.1196
1471333,4.0,1,0.0143
1148862,3.0,3,0.1231
1192197,10.0,1,0.0281
1385663,2.0,1,0.2025
257323,4.3,9,0.1878
669770,5.4,33,0.5819
1265647,4.25,24,0.6679
1191815,6.4,47,0.6013
524582,4.9,11,0.1358
332755,7.644,73,0.9621
474350,6.8,9549,9.9862
104952,4.875,16,0.4383
337879,4.5,10,0.1032
642155,6.3,3,0.2261
1115939,5.271,59,0.9339
1133835,7.0,2,0.0552
1027899,3.5,4,0.1271
675374,1.0,2,0.0699
761163,5.8,66,1.4363
1330610,4.333,6,0.1822
715550,6.2,6,0.3483
729877,1.0,2,0.0765
277610,5.0,62,0.3117
870664,5.5,2,0.0536
102765,3.4,8,0.2268
422247,5.0,2,0.2007
966851,8.0,1,0.0143
488265,7.0,3,0.0625
1494100,10.0,1,0.0831
458673,3.545,55,1.2716
85865,2.9,9,0.1258
463602,5.4,371,1.3391
207273,4.8,49,0.5419
931042,2.0,2,0.9707
104683,6.5,4,1.1946
35192,5.2,23,0.2411
354108,4.5,8,0.1634
1201357,7.5,2,0.2412
103600,4.1,12,0.5777
1097405,5.0,1,0.1097
499141,2.9,4,0.0327
873529,4.0,4,0.1572
157958,7.0,1,0.08
370473,5.5,4,1.1653
554739,5.0,159,1.6028
571675,4.5,15,0.3116
1148787,4.7,26,0.2079
5675,4.8,9,0.4184
279032,1.8,5,0.1827
48385,4.287,54,0.6606
505498,3.0,6,0.0214
1022680,10.0,2,0.0602
31703,5.1,158,1.8193
365432,4.7,39,0.5654
128971,5.2,38,0.3401
403646,4.3,3,0.9438
86215,2.5,36,0.6408
34593,6.1,53,0.8273
1087803,2.0,1,0.0453
84590,3.5,6,0.2158
660175,5.5,2,0.1322
279965,1.722,9,0.3011
28635,4.3,204,1.4366
391962,4.4,12,0.2921
120240,5.0,6,0.4011
652118,1.0,1,0.1549
35197,4.9,70,0.514
1384912,4.0,1,0.1502
622640,5.8,4,0.2677
1205084,2.0,1,0.047
246390,6.0,2,0.0143
47655,3.3,40,0.7441
675054,7.0,160,1.6898
301074,5.1,4,0.0454
259469,6.0,4,1.4099
439417,10.0,1,0.083
392437,3.8,11,0.2391
94016,5.0,77,0.7535
128264,3.0,2,0.1326
363089,5.8,9,0.2019
1442754,10.0,2,0.053
1603781,10.0,1,0.6502
1280553,6.0,1,0.1527
1052940,10.0,2,0.1171
57876,4.9,634,2.0605
428801,6.2,5,0.2634
73160,2.4,5,0.2079
470032,7.0,1,0.2851
1105742,1.0,1,0.0281
38826,5.2,47,0.5909
1356414,1.0,1,0.1183
365309,6.75,4,0.4396
26278,6.43,143,1.8757
725867,4.3,8,0.3702
11167,7.447,896,4.2866
27468,2.6,12,0.6762
101588,3.8,8,0.1561
739706,10.0,1,0.0286
100467,4.2,10,0.2346
1286204,7.0,1,0.2581
629957,2.0,5,0.3467
504631,6.416,302,1.8868
1092365,5.875,8,0.245
171285,7.0,5,0.1375
853604,7.0,2,0.249
1272722,10.0,1,0.0844
1287449,6.0,1,0.0168
384216,3.2,10,0.2163
324430,3.0,1,0.0607
476424,3.0,20,0.5364
149113,4.2,9,0.6374
73554,2.6,7,0.1901
763992,10.0,1,0.0289
82655,5.8,31,0.3707
60306,4.8,33,0.6175
587039,4.0,2,0.4808
30567,4.5,13,0.302
319302,6.0,30,0.3357
114394,4.4,18,0.8509
1063829,4.8,10,0.5984
93958,3.0,4,0.0726
191431,3.8,10,0.3425
637946,1.7,3,0.2139
767841,4.5,11,0.4434
1082246,2.7,3,0.2451
463684,5.4,1990,2.3895
268871,5.5,6,0.074
354794,4.3,9,0.0673
972206,4.7,3,0.684
1308256,10.0,1,0.3034
1214905,4.4,7,0.3919
1301511,6.1,11,0.1942
90965,5.9,17,1.5481
204348,3.2,9,0.1124
195807,5.7,10,0.8029
27742,7.0,49,1.4875
97984,5.3,9,0.716
728289,7.5,2,0.0505
467938,6.505,2069,5.4874
