id_tertiaire,url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
slices_of_life_2010,https://www.rottentomatoes.com/m/slices_of_life_2010,,7.0,
halloween_2007,https://www.rottentomatoes.com/m/halloween_2007,28.0,59.0,"Rob Zombie doesn't bring many new ideas to the table in Halloween, making it another bloody disappointment for fans of the franchise."
dracula_reborn_2014,https://www.rottentomatoes.com/m/dracula_reborn_2015,,8.0,
canary_2023,https://www.rottentomatoes.com/m/canary_2023,86.0,97.0,
sinister_2012,https://www.rottentomatoes.com/m/sinister_2012,64.0,62.0,"Its plot hinges on typically implausible horror-movie behavior and recycles countless genre cliches, but Sinister delivers a surprising number of fresh, diabolical twists."
a_good_man_2014,https://www.rottentomatoes.com/m/a_good_man_2013,,23.0,
let_it_snow_2020,https://www.rottentomatoes.com/m/let_it_snow_2020,,26.0,
three_blind_mice_2023,https://www.rottentomatoes.com/m/three_blind_mice_2023,,43.0,
the_feast_2021,https://www.rottentomatoes.com/m/the_feast_2021,80.0,47.0,"Traditional horror may not be on the menu, but for fans of the gruesomely disquieting, The Feast more than lives up to its name."
possessed_2009,https://www.rottentomatoes.com/m/possessed_2009,,36.0,
exit_to_hell_2013,https://www.rottentomatoes.com/m/exit_to_hell_2013,,20.0,
the_gardener_2018,https://www.rottentomatoes.com/m/the_gardener_2018,75.0,81.0,
expiration_2011,https://www.rottentomatoes.com/m/expiration_2012,,87.0,
fathers_day_2011,https://www.rottentomatoes.com/m/fathers_day_2011,78.0,63.0,
halloween_2018,https://www.rottentomatoes.com/m/halloween_2018,79.0,72.0,"Halloween largely wipes the slate clean after decades of disappointing sequels, ignoring increasingly elaborate mythology in favor of basic - yet still effective - ingredients."
the_rental_2020,https://www.rottentomatoes.com/m/the_rental_2020,73.0,47.0,"Some tricky genre juggling makes The Rental a bit of a fixer-upper, but effective chills and a solid cast make this a fine destination for horror fans."
isabelle_2019,https://www.rottentomatoes.com/m/isabelle_2019,7.0,21.0,
fury_the_tales_of_ronan_pierce_2014,https://www.rottentomatoes.com/m/crazed_2014,,0.0,
forsaken_2016,https://www.rottentomatoes.com/m/forsaken_2016,40.0,86.0,
honeymoon_2014,https://www.rottentomatoes.com/m/honeymoon_2014,76.0,44.0,"Smart, stylish, and nail-bitingly tense, Honeymoon packs more slow-building horror than many bigger-budget productions."
caterpillar_2025,https://www.rottentomatoes.com/m/caterpillar_2023,100.0,,
