tconst,title,tmdb_id,primaryTitle,genres,averageRating,numVotes
tt16532836,Giohazard,1192257,Giohazard,"Action,Comedy,Sci-Fi",6.2,32.0
tt16540514,Deep Fear,933415,Deep Fear,Horror,5.1,1172.0
tt1670387,After Dark,323465,After Dark,"Horror,Thriller",3.8,349.0
tt1671746,The 50 Best Horror Movies You've Never Seen,276956,The 50 Best Horror Movies You've Never Seen,"Documentary,Horror",6.1,723.0
tt1675294,Chainsaw Zombies Redux,1524503,,,3.2,33.0
tt1679544,Loveless Zoritsa,110911,Loveless Zoritsa,Comedy,4.7,439.0
tt1680119,The Disco Exorcist,118622,The Disco Exorcist,"Comedy,Horror",4.5,315.0
tt1682180,Stoker,86825,Stoker,"Drama,Mystery,Thriller",6.7,120298.0
tt1684936,WitchSlayer Gretl,96367,Witchslayer Gretl,"Fantasy,Horror",3.2,899.0
tt1686905,Nightmare at Bunnyman Bridge,1333160,,,5.5,27.0
tt1692938,The Veil,166816,,,4.2,70.0
tt1693752,Mockingbird,272617,,,6.4,91.0
tt1693865,Rayuan Arwah Penasaran,647348,Rayuan Arwah Penasaran,Horror,4.3,21.0
tt16978548,The Shroud,1278432,The Shroud,Horror,4.6,33.0
tt1698008,Super Shark,83880,Super Shark,"Action,Adventure,Comedy",2.6,2629.0
tt1699231,Quarantine 2: Terminal,59115,Quarantine 2: Terminal,"Horror,Sci-Fi,Thriller",5.2,22248.0
tt17005142,The Final Voyage of the Good Ship Demeter,973553,,,,
tt1702432,Inferno,622404,,,7.7,10.0
tt17028110,Denshichi Torimonocho: Silver Snake Spell,1246336,Tsute nana torimonocho yurei hikyaku,"Drama,History",,
tt17057122,Deer Girl,1092237,,,,
tt1705956,The Feed,166738,The Feed,Horror,4.0,240.0
tt17074896,Japan's Map of Grudges 2!! Investigation: Curse of the Sea of Trees,1054034,,,,
tt17104188,Ultra Violent People,1140480,,,5.8,7.0
tt1710900,Stripperland,66925,,,3.3,978.0
tt1710994,Loups=Garous,56362,Loups=Garous,"Animation,Mystery,Sci-Fi",5.1,245.0
tt17137520,Blood Dried Hands,1254234,Blood Dried Hands,"Crime,Horror,Thriller",5.1,216.0
tt1715348,Stiff,66670,Stiff,Horror,3.0,180.0
tt17157786,Mothman,1014932,Mothman,"Drama,Horror,Mystery",4.2,559.0
tt1716753,Monster Brawl,73933,Monster Brawl,"Action,Comedy,Horror",3.6,2737.0
tt1717191,Pentagramm,1527051,Pentagramm,Horror,6.0,38.0
tt1719550,Nursery Crimes,341734,,,7.2,50.0
tt17220590,Give Me Your Eyes,927359,Give Me Your Eyes,"Horror,Thriller",4.4,141.0
tt1727252,Chillerama,79771,Chillerama,"Action,Comedy,Horror",5.5,5170.0
tt1727375,The Lashman,265085,The Lashman,"Action,Drama,Horror",6.4,48.0
tt1733119,Dagim,425835,Dagim,Horror,6.3,12.0
tt1733575,Ludlow,212908,Ludlow,"Horror,Mystery",4.9,31.0
tt17350200,Three Days in the Woods 2: Killin' Time,1103160,Three Days in the Woods 2: Killin' Time,Horror,3.7,63.0
tt1736568,Dead Enders,46166,,,5.1,88.0
tt1737240,Saturday Nightmares: The Ultimate Horror Expo of All Time!,164628,,,8.7,36.0
tt1740480,Cehennem 3D,471766,Cehennem 3D,Horror,2.4,625.0
tt1744761,Cannibal Lolita,279547,,,3.0,9.0
tt17502272,Day of the Clones,1326045,Day of the Clones,"Horror,Sci-Fi",3.7,68.0
tt1753518,Blarghaaahrgarg,177116,,,6.6,151.0
tt1753750,Easter Bunny Bloodbath,95481,Easter Bunny Bloodbath,"Comedy,Horror",3.3,200.0
tt1753767,The Sanatorium,203151,El Sanatorio,"Comedy,Horror",5.4,189.0
tt1753788,Epitaph: Bread and Salt,294134,Epitaph: Bread and Salt,"Action,Horror,Sci-Fi",4.4,82.0
tt1753941,Ika-Sampu,221661,Ika-sampu,Horror,6.8,22.0
tt17542814,Ash,1136488,,,,
tt1754693,The Pit,694556,,,,
tt1756735,Sinner,1620549,,,,
tt1756851,Twixt,78381,Twixt,"Comedy,Fantasy,Horror",4.8,13437.0
tt17595094,In the Fire,946215,In the Fire,"Drama,Horror,Thriller",3.0,4678.0
tt1764601,So Brightly in the Dark,1188710,,,5.2,9.0
tt17676636,The House Sitters,1008821,,,,
tt17678788,İlk Seans: NMSM,949384,Ilk Seans: NMSM,Horror,1.9,80.0
tt1772850,Exit 33,69884,Exit 33,Horror,2.9,265.0
tt1773690,Sodium Party,296571,Sodium Party,"Drama,Fantasy,Horror",3.7,139.0
tt17819196,Gemini Home Entertainment,1598217,,,8.2,489.0
tt1789902,"Shake, Rattle & Roll 12",58672,Shake Rattle & Roll 12,"Comedy,Drama,Fantasy",6.0,109.0
tt1798124,Confession,1620556,,,,
tt1801026,6 Days Dark,375655,6 Days Dark,Horror,4.0,137.0
